Nome da Origem;Data;Temp. Ins. (C)
temperatura_historico_DF_01.csv;19/01/2019;28,6
temperatura_historico_DF_01.csv;19/01/2019;28,1
temperatura_historico_DF_01.csv;19/01/2019;24,9
temperatura_historico_DF_01.csv;19/01/2019;20,5
temperatura_historico_DF_01.csv;19/01/2019;20,4
temperatura_historico_DF_01.csv;20/01/2019;20,5
temperatura_historico_DF_01.csv;20/01/2019;19,4
temperatura_historico_DF_01.csv;20/01/2019;19,7
temperatura_historico_DF_01.csv;20/01/2019;19,3
temperatura_historico_DF_01.csv;20/01/2019;19
temperatura_historico_DF_01.csv;20/01/2019;19,1
temperatura_historico_DF_01.csv;20/01/2019;18,7
temperatura_historico_DF_01.csv;20/01/2019;18,7
temperatura_historico_DF_01.csv;20/01/2019;18,4
temperatura_historico_DF_01.csv;20/01/2019;19
temperatura_historico_DF_01.csv;20/01/2019;23,5
temperatura_historico_DF_01.csv;20/01/2019;24,5
temperatura_historico_DF_01.csv;20/01/2019;26,2
temperatura_historico_DF_01.csv;20/01/2019;27
temperatura_historico_DF_01.csv;20/01/2019;28
temperatura_historico_DF_01.csv;20/01/2019;28,7
temperatura_historico_DF_01.csv;20/01/2019;28,1
temperatura_historico_DF_01.csv;20/01/2019;30
temperatura_historico_DF_01.csv;20/01/2019;30,3
temperatura_historico_DF_01.csv;20/01/2019;28,9
temperatura_historico_DF_01.csv;20/01/2019;28,6
temperatura_historico_DF_01.csv;20/01/2019;28,2
temperatura_historico_DF_01.csv;20/01/2019;25,4
temperatura_historico_DF_01.csv;20/01/2019;22,5
temperatura_historico_DF_01.csv;21/01/2019;21,2
temperatura_historico_DF_01.csv;21/01/2019;21,1
temperatura_historico_DF_01.csv;21/01/2019;21,3
temperatura_historico_DF_01.csv;21/01/2019;21,7
temperatura_historico_DF_01.csv;21/01/2019;20,5
temperatura_historico_DF_01.csv;21/01/2019;19,9
temperatura_historico_DF_01.csv;21/01/2019;18,9
temperatura_historico_DF_01.csv;21/01/2019;17,3
temperatura_historico_DF_01.csv;21/01/2019;19,2
temperatura_historico_DF_01.csv;21/01/2019;17,7
temperatura_historico_DF_01.csv;21/01/2019;20,6
temperatura_historico_DF_01.csv;21/01/2019;22,8
temperatura_historico_DF_01.csv;21/01/2019;24,5
temperatura_historico_DF_01.csv;21/01/2019;26,7
temperatura_historico_DF_01.csv;21/01/2019;28,8
temperatura_historico_DF_01.csv;21/01/2019;29,3
temperatura_historico_DF_01.csv;21/01/2019;29,8
temperatura_historico_DF_01.csv;21/01/2019;30,5
temperatura_historico_DF_01.csv;21/01/2019;30,6
temperatura_historico_DF_01.csv;21/01/2019;30,7
temperatura_historico_DF_01.csv;21/01/2019;30,4
temperatura_historico_DF_01.csv;21/01/2019;29,2
temperatura_historico_DF_01.csv;21/01/2019;27,8
temperatura_historico_DF_01.csv;21/01/2019;26,4
temperatura_historico_DF_01.csv;22/01/2019;25,7
temperatura_historico_DF_01.csv;22/01/2019;25
temperatura_historico_DF_01.csv;22/01/2019;23,9
temperatura_historico_DF_01.csv;22/01/2019;21,5
temperatura_historico_DF_01.csv;22/01/2019;22,8
temperatura_historico_DF_01.csv;22/01/2019;19,8
temperatura_historico_DF_01.csv;22/01/2019;18,6
temperatura_historico_DF_01.csv;22/01/2019;18,6
temperatura_historico_DF_01.csv;22/01/2019;19,5
temperatura_historico_DF_01.csv;22/01/2019;20,8
temperatura_historico_DF_01.csv;22/01/2019;21,5
temperatura_historico_DF_01.csv;22/01/2019;24,9
temperatura_historico_DF_01.csv;22/01/2019;26,2
